Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Carol Avery,F,T,T,T,2
Scott Vansickle,T,F,F,F,2
Jason Garcia,F,T,T,F,2
Eloise Rollins,F,F,T,F,1
Robert Stapleton,F,F,F,T,2
Maurice Couchman,F,T,F,T,1
Kit Hawkins,F,F,F,F,2
Timothy Levinthal,F,T,F,F,1
William Hall,T,F,F,F,1
Nicole Dunn,T,T,F,T,2
Jennifer Westbrook,T,F,T,F,2
Sherri Bryer,T,T,T,F,2
Susan Parrott,F,F,T,F,1
Kenneth Brown,F,T,F,T,1
Jim Chisolm,F,F,T,T,1
Evelyn Davis,F,F,T,F,2
Julie Bromley,T,T,F,F,1
Timothy English,F,F,F,T,2
Verline Carter,T,T,T,F,2
Rosa Klein,T,T,T,T,2
Tatiana Amos,T,F,F,F,1
Phyllis Liberti,F,T,F,T,1
Etta Eller,F,F,F,T,2
Gregory Lyon,T,T,T,T,2
Agnes Boyer,T,T,T,T,2
Gail Hinman,F,T,F,T,1
Margo Hicks,T,F,F,F,1
Justin Begley,T,F,F,F,1
Virginia Stringer,F,F,T,F,2
James Merlo,F,T,F,F,1
Thomas Rowe,T,T,T,F,2
Troy Baker,F,F,F,T,1
Helen Bartkowiak,T,T,F,F,1
Edward Dupre,T,T,T,T,1
Jimmie Dunbar,F,F,T,F,2
Billy Zamora,T,F,T,T,2
Alfred Ayala,T,T,T,F,2
Aleida Mitchell,T,F,F,F,2
Jody Hemstreet,T,T,F,T,2
Conrad Trollinger,T,T,T,T,2
Peggy Farkas,T,T,F,F,1
Daniel Molleur,T,T,F,F,1
Bobby Boswell,T,T,F,T,1
Mildred Palladino,T,F,T,T,2
James Macdonald,F,T,T,T,1
David Bennett,T,T,F,T,1
Mary Cruz,F,T,T,T,1
Jacqueline Mckinley,T,F,T,F,1
Dorothy Kang,F,T,T,T,2
Celia Allen,T,T,F,T,2
Brian Keefe,T,T,T,T,2
Eleanore Newport,T,F,F,T,1
Raymond Val,F,T,F,T,2
Angelo Johnson,T,F,F,F,1
Christopher Keepers,T,F,T,F,2
James Fontenot,T,T,T,F,2
Alexander Engelhart,F,F,T,T,2
Violet Curry,F,F,T,T,2
Clifton Morris,F,F,T,F,2
Jason Fitch,T,F,F,F,2
Kenneth Stair,F,T,T,F,2
Samuel Sullivan,F,T,F,T,2
Jennifer Peter,T,F,F,T,2
Wilbur Coleman,F,F,F,T,1
Stuart Bradley,T,T,F,F,1
Robert Douglas,T,T,T,T,2
Miles Underwood,F,F,F,F,2
John Mckenzie,F,T,T,T,2
Amy Segovia,F,F,T,F,1
Tona Sebring,F,T,F,F,2
Patricia Wright,T,F,T,F,2
Richard Coard,F,T,T,F,1
Romona Wilson,T,F,T,T,1
Jennifer Schermerhorn,F,F,F,T,1
Jessica Pena,F,T,T,F,1
Jean Crittenden,T,T,F,T,2
Madeline Stoker,T,T,T,F,2
Linda Johnson,F,T,T,T,2
Evelyn Rathburn,F,T,T,F,2
Edward Boniello,F,T,T,F,1
Frederick Perry,T,F,T,F,2
Nathan Smart,F,F,T,T,1
Sandra Rankin,T,F,T,T,2
George Muniz,F,F,T,T,2
Lora Wade,F,F,F,T,1
Thao Coley,F,T,F,F,2
Matthew Derider,T,T,T,F,1
Kenneth Strong,T,F,T,T,2
George Hopkins,T,T,T,F,1
Wayne Levins,F,T,F,T,1
James Grundhoefer,T,T,T,T,1
Henrietta Gibbs,F,F,F,F,1
Randy Vinson,T,T,T,F,2
Judy Fisher,T,F,F,F,2
Joshua Major,T,T,F,T,1
Derrick Martinez,T,F,F,T,1
Henry Eisenman,T,T,F,F,2
Roy Strack,F,T,F,T,2
Joyce Houghton,F,F,F,T,1
Lois Yong,F,T,F,T,1
