Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Katherine Cook,T,F,T,T,1
William Lee,T,T,T,F,2
Robert Eaves,T,T,F,T,1
Rodney Lowery,T,F,F,T,1
Cletus Owens,F,T,T,F,1
George Eglinton,T,T,T,F,2
Bernard Southall,F,T,T,T,1
Jeffrey Garcia,T,F,F,T,1
Candance Parker,F,T,T,T,1
Juan Pranger,F,F,T,T,2
Gloria Stewart,F,F,T,F,2
Donald Peschel,T,T,F,F,2
Bonnie Roberts,F,T,T,T,1
Ramonita Story,F,T,T,T,1
Thomas Koons,T,T,T,F,1
Roy Cumberbatch,T,T,F,T,2
Richard Bradley,T,T,F,T,1
Maryjane Thomas,F,F,T,F,1
Albert Hornyak,F,F,T,F,2
Robert Pezzuti,F,F,F,T,1
Alfred Lin,T,T,T,F,2
Sonja Snodgrass,T,F,T,F,2
Eleanor Kent,T,F,T,T,2
Lourdes Mccleary,F,F,F,T,2
Michael Prow,T,T,T,T,2
Brandon Gaddy,T,T,F,T,2
Susan White,F,T,F,F,2
Helen Struthers,F,T,F,T,2
Barbara Guerin,F,F,T,T,1
David Hinson,F,T,F,F,1
Gary Tipler,T,F,F,F,1
Harold Mcnally,T,F,F,F,2
Lena Banner,F,T,F,T,2
Robert Moynihan,T,T,T,T,1
Debra Brown,F,F,T,T,2
Amanda Knie,F,T,F,T,2
Ashley Williams,T,F,T,T,2
Brandon Obrien,F,T,T,F,1
Lori Hitchcock,F,T,F,F,2
William Schneider,T,F,F,T,1
Emily Smith,T,F,F,F,2
Thomas Thornton,T,F,F,F,1
Adam Clark,T,T,F,F,1
Arron Ovellette,F,T,T,F,1
Shanna Mullen,F,T,T,F,1
Annette Mccoy,T,T,F,T,1
Christie Martin,T,F,F,F,2
William Hill,F,F,T,F,1
Vanessa Willingham,F,F,T,T,2
Rosemary Jones,T,F,F,F,1
Kenneth Powell,F,T,F,T,2
Luis Wheeler,F,T,F,T,2
Tia Byrn,T,F,F,F,2
Robert Mcdonald,F,F,T,F,1
Gregoria Aguilar,T,F,F,T,2
Richard Strickland,T,F,T,F,1
David Deberry,F,T,T,T,1
Mary Anderson,T,T,T,F,2
Kenneth Davies,T,T,F,T,2
Cecelia Sowa,F,T,T,T,1
Carolyn Conover,F,F,T,F,1
Jerry Transou,F,F,T,F,1
Aimee Rodriguez,F,F,T,F,1
Michael Wolfe,F,F,T,T,2
Frank Wilkins,F,T,F,F,1
Charlotte Ross,T,F,F,T,2
Israel Hillhouse,F,F,F,F,1
Lawrence Vogel,F,T,T,F,1
Gloria Mitchell,F,F,T,F,1
Cassie Pollard,F,F,F,F,2
Theresa Powell,F,T,F,T,1
Antonio Hall,T,T,F,F,1
Leslie Hinshaw,T,F,T,T,1
Misty Hall,T,T,F,T,2
Pat Sutton,F,T,T,T,1
Anne Galloway,T,F,T,T,1
James Barna,F,T,T,T,1
Penelope Groff,F,F,F,F,2
Theodore Curtis,F,F,T,F,1
Clara Orange,T,F,F,T,1
Lane Furman,T,F,T,F,2
Ed Sitzes,F,T,T,F,1
Frederick Rogers,T,T,T,F,1
Larry Lopez,T,F,F,T,2
Pamela Peres,F,T,T,F,1
Alycia Stobb,F,F,F,T,1
Carlos Dawson,F,F,F,T,2
David Rogers,F,F,T,T,2
George Dodd,T,T,T,F,2
Julie Steller,F,F,T,T,1
Matthew Simmon,T,F,T,F,1
Jason Valone,F,F,F,T,1
Leigh Skoog,T,T,F,F,2
Bree Vanhorn,F,T,T,T,2
Matthew Huntley,F,F,F,F,2
Leah Risher,F,F,T,T,1
Virginia Hara,F,T,F,T,1
Deidre Hundley,F,T,T,F,2
Ruth Mccarthy,T,F,F,T,2
Gerald Thomas,F,F,F,T,2
