Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Haley Picciano,T,T,T,F,1
Irene Durk,F,F,F,F,1
Nicole Harpole,F,T,F,T,2
William Wells,T,T,F,T,2
Sue Jenkins,T,T,F,T,1
Frank Graves,T,T,F,F,2
Marcelina May,T,F,T,T,1
Henry Payne,F,T,F,T,2
Richard Kelso,F,T,F,F,2
Michael Cianciola,F,T,F,F,2
Juan Montgomery,F,T,F,T,1
Leo Blenman,F,F,F,F,1
Foster Smith,F,T,T,T,1
Robert Allen,T,F,F,T,2
James Vasquez,F,T,F,T,2
James Hall,F,T,T,F,1
Della Mcconnell,F,T,T,F,2
Frank Gilbert,T,T,T,F,1
Carol Campbell,T,F,T,F,1
Gabrielle Devine,T,T,T,T,1
Miguel Jones,F,T,F,F,2
Edward Johnson,T,T,T,T,2
Amy Albritton,T,F,T,F,2
Caroline Lowe,T,T,T,T,1
John Young,T,F,T,F,1
Ramon Partis,T,T,T,T,2
Barbara Mcdaniel,F,F,F,T,1
Joseph Amos,F,F,T,T,2
Patsy Jordan,F,F,T,F,2
Sharon Heroman,T,F,T,T,2
Heather Haynes,T,F,F,F,2
Tiffany Parsons,T,T,F,T,1
Wesley Hanchett,F,T,F,T,1
Lisa Hess,T,T,F,F,1
Nelson Murphy,F,F,F,T,1
Susannah Bentley,T,F,T,T,1
Chester Hookano,F,T,F,T,1
Berenice Downs,F,T,F,T,1
Jean Morgan,T,F,T,T,2
Phillip Estes,T,T,T,F,2
Johnny Torres,F,F,F,T,1
Anna Geary,F,T,F,T,2
Joe Swanson,F,T,F,T,1
Judith Beverly,F,F,F,T,2
Carol Hernandez,F,T,T,T,1
Christopher Swan,T,F,T,F,2
Luz Sharpe,T,F,T,F,1
Nancy Mann,F,F,T,F,1
Daniel Pagliaro,F,T,F,T,2
Floyd Pressley,F,T,F,F,1
Annie Hidalgo,F,T,F,F,2
Scott Washington,F,T,T,F,1
Susan Malone,F,T,T,T,2
Anthony Thomas,F,T,T,T,1
Julio Cuevas,T,T,T,T,1
Keith Earl,F,F,F,T,2
Linda Linares,T,F,F,F,2
Gary Napolitano,F,T,F,T,2
Jeffrey Kelly,F,T,F,F,1
Jesus Hooper,F,T,F,F,2
Georgia Belville,T,T,F,F,1
Thomas Mendoza,F,T,T,T,2
Mary Whelan,T,T,T,F,1
Erica Skrine,T,T,T,F,2
Bobbie Flynn,T,F,F,T,1
Nancy Suarez,T,T,F,T,2
Pricilla Guzowski,F,T,T,F,2
Lynn Williams,T,F,F,T,2
Jerome Denison,F,F,F,T,1
Lucille Edwards,F,F,T,T,1
Melissa Oliphant,T,T,F,F,2
Victoria Battee,F,F,F,F,2
Regina Thompson,T,T,T,T,2
Craig Luther,F,T,T,F,1
Imelda Reilly,F,T,T,F,1
David Wilson,F,F,T,T,1
Jose Rodriguez,T,F,F,T,1
Rebecca Arnold,F,F,F,F,2
Mae Applebee,T,F,F,T,2
Edward Keefer,T,F,F,T,1
Brad Rodgers,T,T,T,F,2
John Flores,F,T,F,T,2
Sharon Meres,F,T,F,F,2
William Dietz,T,F,F,T,1
Charlene Sims,F,F,T,T,1
Brittany Mccarty,T,F,F,F,2
Michelle Rogers,F,T,F,F,2
Mary Vildosola,T,T,F,F,1
Patrick Mester,F,F,T,F,1
Lloyd Pickard,T,F,T,F,1
Carol Chappell,F,F,T,F,1
John White,F,T,F,T,2
Betty Homan,T,F,F,F,2
Lesley Dunigan,T,F,T,F,1
Carlos Mackerl,T,F,F,T,1
Thomas Lester,T,F,T,T,2
Jerry Bannerman,T,T,F,F,1
Jason Moore,F,T,F,F,2
Jason Kervin,F,F,T,F,2
Judith Thomas,T,F,T,F,2
