Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Charles Bobo,T,F,F,F,2
Joyce Howard,T,F,F,F,2
Howard Bray,T,F,F,F,2
Dante Vasquez,T,T,F,T,1
Teresa Mayfield,T,F,F,F,1
Richard Pickle,T,T,F,F,2
Michael Baade,T,F,T,F,1
Leroy Jose,T,T,F,F,1
Richard Murphy,T,T,F,F,1
Marcella Hutchinson,T,F,F,F,1
Norman Butts,T,F,F,T,1
David Gibson,T,T,F,T,1
Vickie Gates,T,F,F,F,1
Walter Throgmorton,T,F,T,F,1
Howard Joiner,T,F,F,F,2
Charles Siefke,T,T,F,F,2
Grace Johnson,T,F,F,F,1
Amanda Hirkaler,T,T,F,F,2
William Coster,T,F,F,F,2
Charlene Luedtke,T,F,F,F,2
Petra Paneto,T,F,F,F,2
Christie Hentges,T,F,F,F,1
Salvador Hanson,T,T,F,F,2
Josephine Potter,T,T,F,F,1
Dale Johnson,T,F,F,F,1
Brenda Simonetti,T,T,F,F,2
Benjamin Gonzalez,T,T,F,T,1
David Sosa,T,F,T,F,1
Arthur Berry,T,T,F,F,2
Jeffrey Michels,T,F,T,F,2
Christian Daniels,T,F,T,F,2
Brenda Holman,T,F,F,F,2
Mary Cooper,T,F,T,F,2
Wilma Coleman,T,T,F,F,2
Ramiro Correa,T,T,F,F,1
Regina Gamblin,T,F,F,F,1
Teresa Hutchins,T,T,F,F,2
Amelia Kline,T,T,T,F,1
Marcia Forbus,T,T,F,F,1
Kevin Brandt,T,F,F,F,2
Michael Jock,T,T,F,F,2
Kenneth Gallegos,T,T,F,F,1
Joy Mcelderry,T,F,T,F,2
Robert Denniston,T,F,F,F,2
Ronald Pascoe,T,F,T,F,2
Harry Nunlee,T,T,F,F,2
Adrienne Ball,T,T,T,F,2
Jeffrey Gordon,T,T,F,F,2
Robert Webster,T,F,F,T,1
Grady Campbell,T,F,T,F,2
Cynthia Croyle,T,T,F,F,2
Efrain Coles,T,T,F,F,1
Margaret Bailey,T,F,T,F,1
Randy Brown,T,T,F,T,1
Paul Freeman,T,F,F,T,2
Michael Martin,T,F,T,T,1
Anthony Dever,T,T,F,F,1
Marion Dickerson,T,T,T,F,2
Edward Emery,T,F,F,F,2
Don Hooker,T,F,F,F,1
Lillian Casey,T,F,T,F,1
Brandi Rojo,T,F,T,F,1
Bonnie Morris,T,F,F,F,1
Alice Wilson,T,F,F,T,2
Mike Clark,T,F,F,F,2
Frances Prescott,T,F,F,F,2
William Kellar,T,T,F,T,2
Kenneth Lee,T,T,T,F,1
Frances Cross,T,F,F,F,1
Timothy Viejo,T,F,F,F,2
Tim Derenzo,T,F,F,F,1
Dessie Vicini,T,T,T,F,1
Dennis Lauer,T,T,F,F,1
Olivia Little,T,F,F,F,1
Harold Barker,T,T,F,F,2
Phyllis Arroyo,T,T,F,F,2
Glenn Young,T,T,F,F,1
Elmo Perez,T,T,F,F,2
William Shaw,T,F,F,F,1
Linda Wolfe,T,F,F,F,1
Flora Steik,T,F,F,F,1
Anthony Giordano,T,F,F,F,2
Barbara Gulbrandsen,T,F,F,F,2
Gwendolyn Filipponi,T,T,F,F,2
Jill Ferguson,T,F,F,F,2
Marc Traylor,T,T,F,F,2
Zachary Oconnell,T,F,T,F,1
Mary Cohan,T,F,F,F,1
Shirely Boyd,T,F,F,F,2
Jeffrey Clark,T,F,F,T,1
Elizabeth Stonge,T,F,F,F,2
Paul Maldonado,T,F,F,F,2
Roberta Snyder,T,T,F,F,1
Kristin Kiser,T,T,F,F,1
Michael Gomes,T,F,F,F,1
Elizabeth Taylor,T,F,T,F,2
Esther Bostic,T,T,T,F,2
Robert Schermerhorn,T,T,F,F,1
Christine Weyer,T,F,F,F,2
Georgia Stanley,T,F,F,F,2
