Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Dorothy Russom,T,T,T,F,2
Robert Vanscooter,T,F,F,F,2
James Warnstaff,T,F,F,F,2
Shane Tattershall,T,T,F,F,2
Patricia Fuentes,T,F,F,F,2
Bobby Zito,T,T,T,F,1
Paul Smith,T,F,F,F,2
Carrie Waters,T,T,F,F,2
Todd Yancey,T,T,T,F,1
Fredrick Wilfong,T,F,F,T,2
Rose Sanderson,T,T,F,F,2
Stephanie Elliott,T,F,F,F,2
Barbara Byrd,T,F,F,F,2
Jimmy Melton,T,F,F,F,2
Dorothy Allen,T,F,F,F,2
Monica Souphom,T,T,F,F,1
Renee Zafar,T,F,F,F,1
Alfred Baker,T,F,T,F,1
Cathy Duboise,T,T,F,F,2
Julie Olivo,T,T,F,F,1
Timothy Roberts,T,F,F,F,2
Roger Lu,T,F,F,F,1
Jack Blackwell,T,T,F,F,1
Dennis Davis,T,F,F,F,2
Tom Lutz,T,F,F,F,1
Susan Page,T,T,F,F,1
John Lepak,T,F,T,F,2
Laura Freeman,T,T,F,F,2
Joseph Rhodes,T,T,F,F,1
Martin Birkholz,T,T,F,F,1
Erika Gordon,T,F,F,F,1
Richard Waldrup,T,T,F,F,2
Christina Olson,T,T,F,F,1
Kim Hutto,T,F,F,F,1
Joan Geerdes,T,T,F,T,2
Tobias Barnes,T,F,T,T,2
Michael Bouillon,T,F,F,F,1
Christiana Garcia,T,F,F,F,2
Elizabeth Mowery,T,T,F,F,2
Maria Harris,T,F,F,F,1
Edwin Gomez,T,T,F,F,1
Janelle Jovich,T,T,F,F,2
Patrick Giles,T,T,F,F,1
America Maldonado,T,F,F,T,1
John Ramirez,T,F,F,F,2
John Bond,T,F,T,F,2
Jill Millison,T,F,F,F,2
Glenn Bryan,T,F,F,F,1
Alfreda Sparks,T,F,F,F,2
Mary Wong,T,T,F,F,2
Johnathan Craner,T,F,F,F,1
David Robinson,T,F,T,F,1
Robin Hamilton,T,F,F,F,1
Jacqueline Deaton,T,T,T,F,2
Mark Hier,T,F,F,F,1
Gene Streeter,T,F,F,F,1
Alvin Higdon,T,T,F,T,1
Daniel Smith,T,T,T,F,2
Oliver Hood,T,T,F,F,1
William Shipley,T,F,F,F,1
Faye Lemke,T,T,F,F,1
Terri Dixon,T,F,F,F,1
Ron Asato,T,F,T,F,2
Sierra Kiani,T,F,T,F,1
Donna Baltes,T,F,F,F,2
Sherry Seay,T,F,F,T,1
Lin Clark,T,T,T,F,2
Michael Cefalu,T,F,F,F,2
Kenneth Scott,T,F,F,T,1
Danny Jackson,T,F,F,T,2
Darren Meyer,T,F,F,F,2
Samuel Whittemore,T,F,F,F,2
Joseph Hau,T,F,F,F,2
Kathy Atwell,T,T,F,F,2
Mary Huggins,T,T,T,F,2
Duane Bowman,T,F,F,F,2
Carole Balch,T,T,T,F,2
Matthew Mcneal,T,T,T,F,1
Carlos Criger,T,F,T,F,1
Antonia Wells,T,F,F,F,1
Abe Vella,T,F,T,F,2
James Corry,T,T,F,F,1
Michael Deleon,T,F,F,F,2
David Mickelson,T,F,F,F,2
Sara Decker,T,F,F,F,1
Charles Servin,T,F,F,F,1
Stacy Hickey,T,F,F,T,1
Esperanza Bednar,T,F,F,F,1
Sherri Mccoy,T,F,F,F,2
Janette Carter,T,F,F,T,1
Scott Benjamin,T,F,F,T,2
Sarah Brown,T,F,F,T,2
Allene Raymer,T,F,T,F,2
Charlene White,T,F,F,F,2
Jo Fox,T,T,F,F,1
James Ritchie,T,F,F,F,2
Naomi Haney,T,T,F,F,2
Jose Jones,T,T,F,F,2
Michael Campbell,T,T,F,F,1
Margret Klingel,T,F,F,F,1
