Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Shannon Bryant,T,F,F,T,1
Anna Ryan,T,F,T,F,2
Ken Brown,T,T,T,F,1
Gordon Whitney,T,F,T,F,1
Helen Jones,T,F,T,F,1
Alfred Leblanc,T,T,T,F,2
John Taylor,T,T,F,F,1
David Overbaugh,T,F,T,F,1
Miriam Miles,T,F,F,F,2
William Premo,T,F,F,F,1
Ruth Cantu,T,F,F,F,2
Earl Jeffries,T,F,T,T,1
Laverne Ell,T,T,T,T,1
Gary Calvert,T,F,F,F,2
Marie Mori,T,F,F,F,2
Cary Morad,T,F,F,F,2
Laura Sanchirico,T,F,F,F,2
Victor Ford,T,T,F,F,2
Terry Aquino,T,T,T,F,1
Jerry Kasprzak,T,T,F,F,1
Danielle Laravie,T,T,F,F,1
Corey Varney,T,F,F,F,1
Rebecca Manley,T,T,T,F,2
Murray Hernandez,T,F,F,F,1
Norman Stewart,T,F,F,F,1
Maria Maldonado,T,F,F,F,2
Natalie Baker,T,F,F,F,1
Dwight Smith,T,T,F,F,2
Judith Ruiz,T,F,T,F,2
Misty Morales,T,F,F,F,1
Kelly Dejesus,T,F,T,F,1
Marcella Hemphill,T,F,F,F,1
Jackie Long,T,F,F,F,1
Mary Tinkler,T,T,F,F,1
Michael Bricker,T,F,F,F,2
Judith Tanner,T,T,F,F,2
Samuel Moran,T,T,F,F,1
Melba Macfarlane,T,T,T,F,2
Jose Johnson,T,F,F,F,1
Lorraine Henrick,T,F,T,F,2
Brian Critchfield,T,T,F,F,2
Michael Doman,T,F,T,F,2
Alan Cox,T,T,F,F,2
Louise Page,T,F,T,F,2
Della Lewis,T,T,T,F,2
David Forbes,T,F,F,F,2
Sheryl Mccray,T,F,F,F,2
Erma Modrak,T,F,F,F,2
Joe Soucy,T,T,T,F,1
Clarence Pfundt,T,T,F,F,1
Patricia Henderson,T,F,F,F,1
Tona Cepero,T,F,F,F,2
Victoria Chauarria,T,T,T,F,2
Jill Ervin,T,T,F,F,1
Kevin Paci,T,F,F,F,2
Kum Shelton,T,F,F,F,2
Eugenia Knox,T,T,T,F,1
Kimberly Cooper,T,T,F,F,2
Steven Short,T,F,F,F,2
Darrell Hall,T,T,F,F,2
Paul Holland,T,F,F,F,1
Bennie Chapin,T,F,T,F,2
Fidel Wolfe,T,T,F,F,2
William Miller,T,T,F,F,2
Helen Hage,T,F,F,F,1
Maryann Wallin,T,T,F,F,2
Ellen Fowler,T,T,T,F,2
William Debellis,T,F,F,F,2
Shane Crawford,T,F,F,F,1
Blanche Evans,T,F,F,F,2
Don Mcmahon,T,F,F,F,1
Raymond Gebhard,T,T,T,F,2
Harry Brown,T,T,T,F,1
Ryan Stewart,T,T,F,F,2
Lisette Coutts,T,T,T,F,1
Robert Wohlenhaus,T,T,F,F,2
John Monteleone,T,F,F,F,1
Stephanie Earheart,T,T,T,F,2
Laurie Barrier,T,T,F,F,2
Anthony Rotz,T,F,F,F,1
Joseph Driscoll,T,F,F,T,1
Jared Franzen,T,T,T,T,2
Rhoda Durr,T,T,F,F,2
Lorraine Hall,T,T,F,F,2
Adrienne Kuhlmann,T,F,F,T,1
Paul Sanchez,T,F,F,F,1
Debra Tuner,T,F,F,F,2
Eugene Martin,T,F,T,F,1
Rudolf Johnson,T,T,F,F,1
Lucas Crawford,T,F,F,F,1
Betty Clemence,T,F,F,F,1
Jeffrey Palka,T,F,F,F,2
Patti Marshall,T,F,F,F,2
Gloria Carmody,T,F,F,F,2
Janice Parker,T,T,F,F,2
Ronald Smith,T,F,T,F,1
Aaron Thielman,T,F,T,F,1
Claudia Martin,T,F,F,F,1
Mallory Quinn,T,F,T,T,2
Zenaida Allen,T,T,F,T,1
