Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Rafael Searcy,F,T,T,T,1
Cathy Munn,F,T,F,F,1
Artie Dennis,F,T,T,T,2
Mary Rife,T,F,F,F,1
Candida King,F,T,F,F,2
Eugene Agudo,T,F,T,F,2
Jeanie Brislin,F,T,F,T,1
Marquita Williams,F,T,F,F,2
Edward Lechner,T,F,T,T,1
Gayle Smith,T,F,T,F,1
David Williams,F,T,T,F,1
Anita Kinnan,F,T,F,F,1
Kristina Frediani,T,T,T,F,2
Mary Lind,F,T,T,T,2
Douglas Bryant,F,F,T,T,1
Lori Morales,F,F,T,T,2
Donald Goffinet,F,T,F,T,1
Shirley Leavitt,T,F,F,T,2
Donna Sternberg,F,F,F,T,2
Tyler Mayberry,F,T,F,F,2
Rina Atkins,F,F,T,F,1
Georgina Moncada,T,F,T,T,2
Micheal Gallagher,T,F,T,T,1
Stanley Jones,T,F,F,F,1
Charles Peyser,T,T,T,F,2
Chad Ross,T,T,T,T,1
Ken Costa,T,T,T,F,1
Mary Lirette,F,T,T,F,1
Gregory Peckenpaugh,F,T,T,F,1
Lucille Tomasini,T,F,T,T,1
