Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Myles Pelote,F,T,F,T,1
Jerry Stephens,T,T,T,F,2
John Lynch,T,T,T,F,1
Evan Estelle,F,F,T,F,1
Lorretta Nelson,F,F,T,F,1
Ulysses Heidt,T,F,F,F,2
Mauricio Robinson,F,T,F,F,1
Kathleen Bolin,F,T,T,F,2
Clyde Trew,F,F,F,F,2
Michael Richards,T,T,T,F,2
Donald Negri,T,F,T,F,2
Gregg Mayville,T,T,F,F,1
Jeanne Sawyer,F,T,T,F,2
Manda Mclemore,F,T,F,F,1
Julie Rubino,T,F,F,F,2
Michael Miller,T,F,F,T,1
Marybeth Steele,T,T,F,F,2
Kent Williams,T,T,F,F,2
Martha Mayville,T,T,F,F,1
Veda Zigmond,T,T,T,T,1
Jacob Armendariz,T,T,F,T,2
Lionel Geiger,T,F,T,T,1
Sonja Monarez,T,T,T,T,1
William Lewis,F,T,T,T,1
Helen Lally,F,T,T,F,2
Aimee Varela,F,F,T,T,2
Randall Turner,T,F,F,T,2
Margaret Zahri,T,F,F,F,2
Jessie Crossman,T,F,F,T,1
Mike Villanueva,F,F,T,F,1
