Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Carol Munnerlyn,T,T,T,T,2
Jorge Kelm,F,F,T,F,2
Dallas Mucha,T,F,F,F,1
Robert Defazio,F,F,F,F,2
Laverne Wilson,T,F,T,F,1
Peter Islam,T,T,T,F,1
Stephanie Womack,F,T,T,F,1
Floyd Fraser,F,F,T,T,2
Ashley Sneed,T,F,F,T,1
Beatrice Butcher,F,F,F,T,2
Mary Finch,F,T,F,F,1
Brenton Hayne,F,T,T,F,1
Walter Hopkins,T,T,T,T,2
Bethanie Campos,T,F,T,T,1
Kyle Maher,F,T,F,F,2
Thomas Good,F,F,T,F,2
Scott Demora,T,F,F,F,2
Norman Mccune,T,T,T,T,1
James Sutton,F,F,T,F,1
Regina Gunn,T,T,F,F,2
Kathy Robinson,T,F,T,F,2
Susan Keene,T,T,F,F,2
Pamela Rios,T,T,T,F,1
Michael Cunningham,T,T,T,F,2
Charlene Schuler,F,T,T,T,2
Susan Trahan,T,F,F,T,1
Karen Andrews,F,T,F,T,2
Vicki Pederson,T,T,F,F,2
Lynda Wells,F,T,T,F,2
Jessie Meurer,F,T,T,T,2
