Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Christi Torres,T,F,F,F,1
Ruby Verdugo,T,F,F,F,2
Dana Brown,T,F,F,F,2
Helen Hambrick,T,T,F,F,1
Stanley Perry,T,T,T,F,1
Eric Naylor,T,F,F,F,1
Annabel Ford,T,F,T,F,1
Samuel Williams,T,T,F,F,2
Rodney Hopkins,T,T,F,F,1
Jose Bunker,T,F,T,F,1
Elmo Rohman,T,T,T,F,2
Mary Jenkins,T,F,F,F,1
Maurice Parsons,T,T,F,F,2
Benjamin Young,T,T,F,F,1
Marjorie Callahan,T,T,F,F,1
Sean Boulos,T,T,F,T,1
Sun Daughtridge,T,F,F,F,1
Lewis Jensen,T,T,F,T,1
Florence Gonzalez,T,T,F,F,1
Michelle Reed,T,F,F,F,2
Charles Luckie,T,T,F,F,1
Pearl Qualls,T,F,F,F,2
Mary Stine,T,F,T,F,1
Judy Carson,T,F,F,F,2
Mary Walker,T,T,F,F,1
Everett Wilson,T,F,F,F,2
Miranda Sanders,T,T,F,F,2
Larry Bussman,T,T,F,T,2
Carrie Anderson,T,F,F,F,2
Carmen Osborne,T,F,F,F,2
