Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Darlene Boyd,T,F,F,F,2
Lilia Andersen,T,F,F,F,1
Jeffrey Oney,T,F,F,F,1
William Desch,T,T,T,F,1
Mary Delgado,T,F,T,F,2
Patricia Mayberry,T,F,F,F,2
Edward Altobell,T,T,F,F,1
Heidi Pittman,T,F,F,F,1
James Severance,T,T,F,F,2
Dennis Nelson,T,T,F,F,1
David Hoskins,T,T,F,F,2
John Krupka,T,F,T,F,1
Allen Johnson,T,F,F,F,2
Nicole Stepp,T,T,T,F,1
Karen Davison,T,F,T,F,2
Kathleen Franko,T,T,F,F,2
Lorraine Dunkan,T,F,F,F,1
Sheryl Burlett,T,F,F,F,2
Steve Russell,T,T,T,F,1
Anthony Ballance,T,T,T,F,2
Alexis Waite,T,T,F,F,1
Betsy Eastland,T,T,F,F,2
Robert Gustafson,T,F,F,F,1
Mark Mclaughlin,T,T,F,F,1
Archie Velez,T,T,F,F,2
Richard Hastings,T,T,T,F,2
Deborah Sanders,T,T,F,F,2
Karen Brown,T,T,F,F,1
Ronald Johnson,T,F,T,T,2
Arthur Weafer,T,T,F,F,1
