Name,Make copies,Make GIFs,Photoshop,Write AI code,Number of tasks
Dylan Clinton,T,F,F,F,2
Pauline Parfitt,T,F,T,F,2
William Little,T,F,F,T,2
Nick Lilly,T,T,F,F,2
Christopher Olson,T,T,F,F,2
Brenda Mendez,T,T,F,F,2
Shanna Almond,T,F,F,F,1
Patricia Chau,T,T,T,T,1
Dena Darosa,T,F,F,F,2
Ellen Clark,T,T,F,F,2
Harold Blythe,T,T,F,F,1
Doris Stafford,T,T,F,T,1
Jeffrey Gross,T,T,F,F,1
Oliver Gugino,T,T,F,F,2
Stacey Mcbride,T,T,F,T,2
Rose Scherer,T,T,F,F,2
Raul Kubik,T,T,T,F,1
Dana Kaylor,T,T,F,T,2
Beverly Lindsey,T,T,F,T,2
Deborah Acosta,T,T,F,T,2
Lucas Nolder,T,F,T,F,2
Ted Murray,T,F,F,F,1
Walter Maxfield,T,F,T,F,2
Margarita Kanzenbach,T,F,F,F,2
Carson Steins,T,T,F,F,2
David Vasquez,T,T,T,T,1
Melissa Shelley,T,F,F,F,1
Claudia Bade,T,T,F,F,2
Ivan Baker,T,T,F,F,2
Brittany Patton,T,T,F,F,1
